MCID;SvcDate;SvcTime;Mileage;Category;Notes
"ALV34";2014-02-16;11.50;;Supervisor;""
"DIL82";2014-02-16;8.00;;CtrVol;""
"OWE55";2014-02-16;4.00;;CtrVol;""
"CRO13";2014-02-16;4.00;;Committee;""
"THA32";2014-02-16;4.00;;CtrVol;""
"WOL37";2014-02-16;4.00;;CtrVol;""
"MEY56";2014-02-16;4.00;;CtrVol;""
"GRA10";2014-02-16;4.00;;OfficeAdmin;""
"ALV34";2014-02-17;11.00;;Supervisor;""
"DIL82";2014-02-17;8.00;;CtrVol;""
"CHR16A";2014-02-17;4.50;;CtrVol;""
"COR77";2014-02-17;4.50;;OfficeAdmin;""
"DUM40";2014-02-17;5.50;;CtrVol;""
"GON27";2014-02-17;4.00;;CtrVol;""
"WRI15";2014-02-17;6.00;;CtrVol;""
"NEL23";2014-02-17;4.00;;CtrVol;""
"GOO15";2014-02-17;4.00;;CtrVol;""
"DUN13";2014-02-18;5.00;;Supervisor;""
"DUM40";2014-02-18;5.00;;Supervisor;""
"AIE30";2014-02-18;8.00;;CtrVol;""
"LAR33";2014-02-18;8.00;;CtrVol;""
"HEN26";2014-02-18;4.00;;CtrVol;""
"KUN58";2014-02-18;2.00;;CtrVol;""
"HAR21A";2014-02-18;3.00;;CtrVol;""
"ALV34";2014-02-18;2.00;;CtrVol;""
"PEA97";2014-02-18;1.00;60;Transporter;""
"DUN13";2014-02-19;10.50;;Supervisor;""
"DIL82";2014-02-19;10.00;;CtrVol;""
"CAI58";2014-02-19;4.50;;CtrVol;""
"WRI15";2014-02-19;9.50;;CtrVol;""
"HEN85";2014-02-19;5.50;;CtrVol;""
"FLA56A";2014-02-19;4.00;;CtrVol;""
"FEI11";2014-02-19;4.00;;CtrVol;""
"CAM53";2014-02-19;4.00;;CtrVol;""
"COR77";2014-02-19;5.00;;OfficeAdmin;""
"CHE28";2014-02-19;4.00;;CtrVol;""
"CHE28A";2014-02-19;4.00;;CtrVol;""
"HUD47";2014-02-19;3.00;;CtrVol;""
"PEA97";2014-02-19;3.00;;CtrVol;""
"CRO13";2014-02-19;1.00;;Committee;""
"COR77";2014-02-19;0.50;10;Transporter;""
"DUN13";2014-01-01;11.00;0;Supervisor;""
"CAI58";2014-01-01;4.50;0;CtrVol;""
"AIE30";2014-01-01;8.00;0;CtrVol;""
"CLA23";2014-01-01;4.00;0;CtrVol;""
"Hen85";2014-01-01;4.00;0;CtrVol;""
"WRI15";2014-01-01;2.50;0;CtrVol;""
"COR77";2014-01-01;2.00;0;OfficeAdmin;""
"HUD47";2014-01-01;3.50;0;CtrVol;""
"CHE28";2014-01-01;3.50;0;CtrVol;""
"CHE28A";2014-01-01;3.50;0;CtrVol;""
"DUM40";2014-01-02;10.00;0;Supervisor;""
"Sut12";2014-01-02;4.00;0;CtrVol;""
"LAR33";2014-01-02;4.00;0;CtrVol;""
"AIE30";2014-01-02;8.00;0;CtrVol;""
"FLA56A";2014-01-02;4.50;0;CtrVol;""
"Sco71";2014-01-02;2.00;0;OfficeAdmin;""
"PER17";2014-01-02;3.00;0;Committee;""
"WRI15";2014-01-02;3.00;0;CtrVol;""
"COR77";2014-01-02;5.00;0;OfficeAdmin;""
"THA32";2014-01-02;3.00;0;CtrVol;""
"CAM53";2014-01-03;10.50;0;CtrVol;""
"AIE30";2014-01-03;8.00;0;CtrVol;""
"WRI15";2014-01-03;4.00;0;CtrVol;""
"DUM40";2014-01-03;8.00;0;CtrVol;""
"MCC15A";2014-01-03;4.00;0;CtrVol;""
"GON27";2014-01-03;3.50;0;CtrVol;""
"DOR16";2014-01-03;2.00;10;Transporter;""
"CAM53";2014-01-04;12.00;0;Supervisor;""
"KOC11";2014-01-04;3.00;0;CtrVol;""
